TimeStamp,Water_elev,Water_temp
7/3/2021 10:15:00,489.82,55.94
7/3/2021 10:30:00,489.82,55.94
7/3/2021 10:45:00,489.84,56.12
7/3/2021 11:00:00,489.83,56.12
7/3/2021 11:15:00,489.81,56.12
7/3/2021 11:30:00,489.81,56.12
7/3/2021 11:45:00,489.83,56.3
7/3/2021 12:00:00,489.8,56.3
7/3/2021 12:15:00,489.82,56.48
7/3/2021 12:30:00,489.82,56.48
7/3/2021 12:45:00,489.83,56.48
7/3/2021 13:00:00,489.82,56.48
7/3/2021 13:15:00,489.82,56.48
7/3/2021 13:30:00,489.81,56.48
7/3/2021 13:45:00,489.84,56.48
7/3/2021 14:00:00,489.83,56.66
7/3/2021 14:15:00,489.82,56.66
7/3/2021 14:30:00,489.81,56.84
7/3/2021 14:45:00,489.81,56.84
7/3/2021 15:00:00,489.81,56.84
7/3/2021 15:15:00,489.82,57.02
7/3/2021 15:30:00,489.82,57.02
7/3/2021 15:45:00,489.82,57.2
7/3/2021 16:00:00,489.81,57.2
7/3/2021 16:15:00,489.82,57.2
7/3/2021 16:30:00,489.8,57.2
7/3/2021 16:45:00,489.82,57.38
7/3/2021 17:00:00,489.82,57.38
7/3/2021 17:15:00,489.83,57.56
7/3/2021 17:30:00,489.82,57.56
7/3/2021 17:45:00,489.81,57.56
7/3/2021 18:00:00,489.81,57.56
7/3/2021 18:15:00,489.81,57.56
7/3/2021 18:30:00,489.8,57.56
7/3/2021 18:45:00,489.78,57.56
7/3/2021 19:00:00,489.83,57.56
7/3/2021 19:15:00,489.81,57.56
7/3/2021 19:30:00,489.78,57.56
7/3/2021 19:45:00,489.8,57.38
7/3/2021 20:00:00,489.81,57.38
7/3/2021 20:15:00,489.81,57.38
7/3/2021 20:30:00,489.81,57.2
7/3/2021 20:45:00,489.81,57.2
7/3/2021 21:00:00,489.82,57.2
7/3/2021 21:15:00,489.8,57.2
7/3/2021 21:30:00,489.81,57.2
7/3/2021 21:45:00,489.79,57.02
7/3/2021 22:00:00,489.79,57.02
7/3/2021 22:15:00,489.8,56.84
7/3/2021 22:30:00,489.8,56.84
7/3/2021 22:45:00,489.8,56.84
7/3/2021 23:00:00,489.8,56.66
7/3/2021 23:15:00,489.8,56.66
7/3/2021 23:30:00,489.81,56.48
7/3/2021 23:45:00,489.8,56.48
7/4/2021 0:00:00,489.8,56.3
7/4/2021 0:15:00,489.8,56.3
7/4/2021 0:30:00,489.81,56.12
7/4/2021 0:45:00,489.79,56.12
7/4/2021 1:00:00,489.8,56.12
7/4/2021 1:15:00,489.79,55.94
7/4/2021 1:30:00,489.8,55.94
7/4/2021 1:45:00,489.8,55.94
7/4/2021 2:00:00,489.79,55.76
7/4/2021 2:15:00,489.81,55.76
7/4/2021 2:30:00,489.81,55.58
7/4/2021 2:45:00,489.79,55.58
7/4/2021 3:00:00,489.8,55.4
7/4/2021 3:15:00,489.79,55.4
7/4/2021 3:30:00,489.78,55.22
7/4/2021 3:45:00,489.78,55.22
7/4/2021 4:00:00,489.78,55.04
7/4/2021 4:15:00,489.8,55.04
7/4/2021 4:30:00,489.8,55.04
7/4/2021 4:45:00,489.8,54.86
7/4/2021 5:00:00,489.79,54.86
7/4/2021 5:15:00,489.79,54.68
7/4/2021 5:30:00,489.78,54.68
7/4/2021 5:45:00,489.79,54.5
7/4/2021 6:00:00,489.79,54.5
7/4/2021 6:15:00,489.78,54.5
7/4/2021 6:30:00,489.79,54.32
7/4/2021 6:45:00,489.79,54.32
7/4/2021 7:00:00,489.77,54.14
7/4/2021 7:15:00,489.79,54.14
7/4/2021 7:30:00,489.77,54.14
7/4/2021 7:45:00,489.79,53.96
7/4/2021 8:00:00,489.78,53.96
7/4/2021 8:15:00,489.77,53.96
7/4/2021 8:30:00,489.78,53.96
7/4/2021 8:45:00,489.78,53.96
7/4/2021 9:00:00,489.79,53.96
7/4/2021 9:15:00,489.77,54.14
7/4/2021 9:30:00,489.78,54.14
7/4/2021 9:45:00,489.79,54.14
7/4/2021 10:00:00,489.78,54.14
7/4/2021 10:15:00,489.8,54.32
7/4/2021 10:30:00,489.78,54.32
7/4/2021 10:45:00,489.78,54.5
7/4/2021 11:00:00,489.76,54.5
7/4/2021 11:15:00,489.78,54.5
7/4/2021 11:30:00,489.75,54.68
7/4/2021 11:45:00,489.77,54.86
7/4/2021 12:00:00,489.8,55.04
7/4/2021 12:15:00,489.79,55.04
7/4/2021 12:30:00,489.78,55.22
7/4/2021 12:45:00,489.78,55.4
7/4/2021 13:00:00,489.77,55.58
7/4/2021 13:15:00,489.78,55.58
7/4/2021 13:30:00,489.78,55.76
